franchise_id,tbl_dt,sell_amount,name
2.51E+11,4/1/2023,844315,ESCALE FRANCHISEE LTD
2.51E+11,4/1/2023,7440669,PHONECOM LTD
2.51E+11,4/2/2023,4307740,Balthazar
2.51E+11,4/2/2023,408711,ESCALE FRANCHISEE LTD
2.51E+11,4/2/2023,5957205,PHONECOM LTD
2.51E+11,4/2/2023,11553445,CITY COM LTD
2.51E+11,4/2/2023,8980614,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/2/2023,11996049,Barthazal
2.51E+11,4/2/2023,6498775,NYUNGWE CELLULAR LTD
2.51E+11,4/2/2023,3483118,CITY COM LTD
2.51E+11,4/2/2023,17385329,ESCALE FRANCHISEE LTD
2.51E+11,4/2/2023,10862438,ESCALE FRANCHISEE LTD
2.51E+11,4/2/2023,7809183,ESCALE FRANCHISEE LTD
2.51E+11,4/2/2023,13442893,CITY COM LTD
2.51E+11,4/2/2023,807507,ESCALE FRANCHISEE LTD
2.51E+11,4/2/2023,7747138,PHONECOM LTD
2.51E+11,4/3/2023,4385989,Balthazar
2.51E+11,4/3/2023,363800,ESCALE FRANCHISEE LTD
2.51E+11,4/3/2023,9555478,PHONECOM LTD
2.51E+11,4/3/2023,17196722,CITY COM LTD
2.51E+11,4/3/2023,11106561,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/3/2023,11493833,Barthazal
2.51E+11,4/3/2023,7043760,NYUNGWE CELLULAR LTD
2.51E+11,4/3/2023,3371003,CITY COM LTD
2.51E+11,4/3/2023,18731801,ESCALE FRANCHISEE LTD
2.51E+11,4/3/2023,11248964,ESCALE FRANCHISEE LTD
2.51E+11,4/3/2023,9341703,ESCALE FRANCHISEE LTD
2.51E+11,4/3/2023,13224955,CITY COM LTD
2.51E+11,4/3/2023,724627,ESCALE FRANCHISEE LTD
2.51E+11,4/3/2023,8531797,PHONECOM LTD
2.51E+11,4/4/2023,4471405,Balthazar
2.51E+11,4/4/2023,449099,ESCALE FRANCHISEE LTD
2.51E+11,4/4/2023,14963596,PHONECOM LTD
2.51E+11,4/4/2023,16603018,CITY COM LTD
2.51E+11,4/4/2023,10389152,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/4/2023,14919171,Barthazal
2.51E+11,4/4/2023,7227280,NYUNGWE CELLULAR LTD
2.51E+11,4/4/2023,3254228,CITY COM LTD
2.51E+11,4/4/2023,18081059,ESCALE FRANCHISEE LTD
2.51E+11,4/4/2023,11053198,ESCALE FRANCHISEE LTD
2.51E+11,4/4/2023,8405733,ESCALE FRANCHISEE LTD
2.51E+11,4/4/2023,14014270,CITY COM LTD
2.51E+11,4/4/2023,771440,ESCALE FRANCHISEE LTD
2.51E+11,4/4/2023,9761347,PHONECOM LTD
2.51E+11,4/5/2023,4053571,Balthazar
2.51E+11,4/5/2023,409365,ESCALE FRANCHISEE LTD
2.51E+11,4/5/2023,8462334,PHONECOM LTD
